time/fps,time/time_elapsed,time/total_timesteps,time/iterations,time/rollout_time,time/train_time,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/clip_range_vf,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss
1641,20324,33357824,509,36.11709547042847,1.170793056488037,0.0001,5080,0.1,0.07047882080078124,13.014237594604491,1000.0,0.9150410890579224,0.71751469373703,0.0019424162,-0.0034380265358777253,6.427402973175049,-25.239237713813782
1641,20362,33423360,510,36.38841223716736,1.165083885192871,0.0001,5090,0.1,0.08040008544921876,13.588117218017578,1000.0,0.9106552600860596,0.7174715399742126,0.0020675154,-0.003472652964410372,6.3823652267456055,-25.230609250068664
1641,20399,33488896,511,35.991286754608154,1.1828737258911133,0.0001,5100,0.1,0.07008819580078125,13.750192558765411,1000.0,0.912428081035614,0.71703040599823,0.0020411576,-0.003481627797737019,6.477734565734863,-25.21841170787811
1641,20435,33554432,512,35.00603795051575,1.1597709655761719,0.0001,5110,0.1,0.07622222900390625,13.154226529598237,1000.0,0.9152323007583618,0.7164570093154907,0.002087544,-0.0036030863906489686,5.890061378479004,-25.195066690444946
1637,20531,33619968,513,35.50613880157471,1.134270429611206,0.0001,5120,0.1,0.0754058837890625,13.300611555576324,1000.0,0.9162808656692505,0.7163686752319336,0.0019412729,-0.003386279265396297,7.180173873901367,-25.183527278900147
1637,20567,33685504,514,35.53242063522339,59.823713064193726,0.0001,5130,0.1,0.0704498291015625,14.069800114631652,1000.0,0.9096122980117798,0.7158006429672241,0.001942248,-0.0036752455358509905,7.2977728843688965,-25.171041631698607
1638,20604,33751040,515,35.09025287628174,1.2355546951293945,0.0001,5140,0.1,0.0669158935546875,12.687889444828034,1000.0,0.9194529056549072,0.7150747776031494,0.0019019573,-0.0032615104195429013,6.103394031524658,-25.147815036773682
1638,20641,33816576,516,35.644554138183594,1.2004268169403076,0.0001,5150,0.1,0.07108154296875,13.524213874340058,1000.0,0.9151331186294556,0.7148308753967285,0.0019419228,-0.0033912058672285637,6.390902042388916,-25.124150276184082
1638,20677,33882112,517,35.412983894348145,1.1764531135559082,0.0001,5160,0.1,0.0652679443359375,13.176804566383362,1000.0,0.9139031767845154,0.7142717242240906,0.0017949333,-0.003220881237939466,6.197632312774658,-25.10717616081238
1638,20714,33947648,518,35.62165927886963,1.1393952369689941,0.0001,5170,0.1,0.077288818359375,13.594605720043182,1000.0,0.9180399179458618,0.7142093181610107,0.0019442491,-0.0036490570462774487,7.099874973297119,-25.09410502910614
